2367194959,/alice/sim/2021/LHC21d4a/252858/001/aod_archive.zip,ALICE::LBL_HPCS::EOS;ALICE::ORNL::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/002/aod_archive.zip,ALICE::CERN::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/003/aod_archive.zip,ALICE::NIHAM::EOS;ALICE::POZNAN::SE
2367194959,/alice/sim/2021/LHC21d4a/252858/004/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/005/aod_archive.zip,ALICE::JINR::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/006/aod_archive.zip,ALICE::CERN::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/007/aod_archive.zip,ALICE::POZNAN::SE;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/008/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/009/aod_archive.zip,ALICE::RRC_KI_T1::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/010/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/011/aod_archive.zip,ALICE::CERN::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/012/aod_archive.zip,ALICE::CERN::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/013/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/014/aod_archive.zip,ALICE::RRC_KI_T1::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/015/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/016/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/017/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/018/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/019/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/020/aod_archive.zip,ALICE::RRC_KI_T1::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/021/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/022/aod_archive.zip,ALICE::LBL_HPCS::EOS;ALICE::ORNL::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/023/aod_archive.zip,ALICE::PRAGUE::SE;ALICE::NIHAM::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/024/aod_archive.zip,ALICE::GRIF_IPNO::SE;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/025/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/026/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/027/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/028/aod_archive.zip,ALICE::UPB::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/029/aod_archive.zip,ALICE::JINR::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/030/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/031/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/032/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/033/aod_archive.zip,ALICE::CERN::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/034/aod_archive.zip,ALICE::CERN::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/035/aod_archive.zip,ALICE::CERN::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/036/aod_archive.zip,ALICE::CERN::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/037/aod_archive.zip,ALICE::CERN::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/038/aod_archive.zip,ALICE::CERN::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/039/aod_archive.zip,ALICE::CNAF::SE;ALICE::BARI::SE
2367194959,/alice/sim/2021/LHC21d4a/252858/040/aod_archive.zip,ALICE::UPB::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/041/aod_archive.zip,ALICE::CERN::EOS;ALICE::BIRMINGHAM::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/042/aod_archive.zip,ALICE::RRC_KI_T1::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/043/aod_archive.zip,ALICE::SUBATECH::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/044/aod_archive.zip,ALICE::CERN::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/045/aod_archive.zip,ALICE::CNAF::SE;ALICE::BARI::SE
2367194959,/alice/sim/2021/LHC21d4a/252858/046/aod_archive.zip,ALICE::ISS::EOS;ALICE::NIHAM::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/047/aod_archive.zip,ALICE::FZK::SE;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/048/aod_archive.zip,ALICE::POZNAN::SE;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/049/aod_archive.zip,ALICE::CERN::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/050/aod_archive.zip,ALICE::NIHAM::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/051/aod_archive.zip,ALICE::CERN::EOS;ALICE::RRC_KI_T1::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/052/aod_archive.zip,ALICE::RRC_KI_T1::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/053/aod_archive.zip,ALICE::CERN::EOS;ALICE::BIRMINGHAM::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/054/aod_archive.zip,ALICE::RRC_KI_T1::EOS;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/055/aod_archive.zip,ALICE::FZK::SE;ALICE::CERN::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/056/aod_archive.zip,ALICE::KISTI_GSDC::SE2;ALICE::ORNL::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/057/aod_archive.zip,ALICE::CERN::EOS;ALICE::UPB::EOS
2367194959,/alice/sim/2021/LHC21d4a/252858/058/aod_archive.zip,ALICE::TORINO::SE2;ALICE::CNAF::SE
2367194959,/alice/sim/2021/LHC21d4a/252858/059/aod_archive.zip,ALICE::UPB::EOS;ALICE::KFKI::EOS
